Date,CL=F_closing_price,BZ=F_closing_price,GC=F_closing_price,SI=F_closing_price,NG=F_closing_price,ZC=F_closing_price,ZW=F_closing_price,ZS=F_closing_price,HG=F_closing_price,PL=F_closing_price,PA=F_closing_price
29/10/1997,,,,,,,,,,402.7000122070313,
30/10/1997,,,,,,,,,,405.2999877929688,
31/10/1997,,,,,,,,,,404.2000122070313,
03/11/1997,,,,,,,,,,406.5,
04/11/1997,,,,,,,,,,405.7000122070313,
05/11/1997,,,,,,,,,,404.5,
06/11/1997,,,,,,,,,,389.0,
07/11/1997,,,,,,,,,,389.0,
10/11/1997,,,,,,,,,,387.3999938964844,
11/11/1997,,,,,,,,,,389.2999877929688,
12/11/1997,,,,,,,,,,391.0,
13/11/1997,,,,,,,,,,386.7000122070313,
14/11/1997,,,,,,,,,,384.0,
17/11/1997,,,,,,,,,,385.5,
18/11/1997,,,,,,,,,,392.7999877929688,
19/11/1997,,,,,,,,,,393.0,
20/11/1997,,,,,,,,,,392.2000122070313,
21/11/1997,,,,,,,,,,389.0,
24/11/1997,,,,,,,,,,386.5,
25/11/1997,,,,,,,,,,379.7999877929688,
26/11/1997,,,,,,,,,,383.2999877929688,
01/12/1997,,,,,,,,,,384.5,
02/12/1997,,,,,,,,,,388.5,
03/12/1997,,,,,,,,,,385.7000122070313,
04/12/1997,,,,,,,,,,381.0,
05/12/1997,,,,,,,,,,381.0,
08/12/1997,,,,,,,,,,376.7000122070313,
09/12/1997,,,,,,,,,,375.8999938964844,
10/12/1997,,,,,,,,,,372.8999938964844,
11/12/1997,,,,,,,,,,360.3999938964844,
12/12/1997,,,,,,,,,,360.20001220703125,
15/12/1997,,,,,,,,,,352.0,
16/12/1997,,,,,,,,,,340.6000061035156,
17/12/1997,,,,,,,,,,354.0,
18/12/1997,,,,,,,,,,356.70001220703125,
19/12/1997,,,,,,,,,,355.0,
22/12/1997,,,,,,,,,,353.1000061035156,
23/12/1997,,,,,,,,,,355.0,
24/12/1997,,,,,,,,,,366.3999938964844,
26/12/1997,,,,,,,,,,366.0,
29/12/1997,,,,,,,,,,365.5,
30/12/1997,,,,,,,,,,367.0,
31/12/1997,,,,,,,,,,370.7999877929688,
02/01/1998,,,,,,,,,,368.0,
05/01/1998,,,,,,,,,,364.3999938964844,
06/01/1998,,,,,,,,,,356.6000061035156,
07/01/1998,,,,,,,,,,363.5,
08/01/1998,,,,,,,,,,362.1000061035156,
09/01/1998,,,,,,,,,,364.1000061035156,
12/01/1998,,,,,,,,,,365.1000061035156,
13/01/1998,,,,,,,,,,375.2000122070313,
14/01/1998,,,,,,,,,,391.5,
15/01/1998,,,,,,,,,,391.6000061035156,
16/01/1998,,,,,,,,,,377.6000061035156,
20/01/1998,,,,,,,,,,378.5,
21/01/1998,,,,,,,,,,382.5,
22/01/1998,,,,,,,,,,387.1000061035156,
23/01/1998,,,,,,,,,,387.2000122070313,
26/01/1998,,,,,,,,,,386.6000061035156,
27/01/1998,,,,,,,,,,392.5,
28/01/1998,,,,,,,,,,390.7000122070313,
29/01/1998,,,,,,,,,,387.7000122070313,
30/01/1998,,,,,,,,,,388.1000061035156,
02/02/1998,,,,,,,,,,392.0,
03/02/1998,,,,,,,,,,386.2000122070313,
04/02/1998,,,,,,,,,,396.5,
05/02/1998,,,,,,,,,,399.2999877929688,
06/02/1998,,,,,,,,,,396.5,
09/02/1998,,,,,,,,,,387.7999877929688,
10/02/1998,,,,,,,,,,390.8999938964844,
11/02/1998,,,,,,,,,,390.8999938964844,
12/02/1998,,,,,,,,,,388.3999938964844,
13/02/1998,,,,,,,,,,387.8999938964844,
17/02/1998,,,,,,,,,,380.7999877929688,
18/02/1998,,,,,,,,,,377.7000122070313,
19/02/1998,,,,,,,,,,383.8999938964844,
20/02/1998,,,,,,,,,,379.2000122070313,
23/02/1998,,,,,,,,,,373.7000122070313,
24/02/1998,,,,,,,,,,373.7999877929688,
25/02/1998,,,,,,,,,,380.0,
26/02/1998,,,,,,,,,,382.6000061035156,
27/02/1998,,,,,,,,,,383.6000061035156,
02/03/1998,,,,,,,,,,388.0,
03/03/1998,,,,,,,,,,384.0,
04/03/1998,,,,,,,,,,384.5,
05/03/1998,,,,,,,,,,381.6000061035156,
06/03/1998,,,,,,,,,,379.2999877929688,
09/03/1998,,,,,,,,,,382.7000122070313,
10/03/1998,,,,,,,,,,388.5,
11/03/1998,,,,,,,,,,387.2000122070313,
12/03/1998,,,,,,,,,,387.8999938964844,
13/03/1998,,,,,,,,,,392.1000061035156,
16/03/1998,,,,,,,,,,402.5,
17/03/1998,,,,,,,,,,395.2999877929688,
18/03/1998,,,,,,,,,,409.0,
19/03/1998,,,,,,,,,,409.3999938964844,
20/03/1998,,,,,,,,,,412.2999877929688,
23/03/1998,,,,,,,,,,421.7999877929688,
24/03/1998,,,,,,,,,,415.3999938964844,
25/03/1998,,,,,,,,,,406.7000122070313,
26/03/1998,,,,,,,,,,416.3999938964844,
27/03/1998,,,,,,,,,,410.2000122070313,
30/03/1998,,,,,,,,,,407.3999938964844,
31/03/1998,,,,,,,,,,408.5,
01/04/1998,,,,,,,,,,409.5,
02/04/1998,,,,,,,,,,408.5,
03/04/1998,,,,,,,,,,418.2000122070313,
06/04/1998,,,,,,,,,,418.0,
07/04/1998,,,,,,,,,,420.5,
08/04/1998,,,,,,,,,,424.2999877929688,
09/04/1998,,,,,,,,,,429.0,
13/04/1998,,,,,,,,,,434.1000061035156,
14/04/1998,,,,,,,,,,439.1000061035156,
15/04/1998,,,,,,,,,,426.8999938964844,
16/04/1998,,,,,,,,,,415.7000122070313,
17/04/1998,,,,,,,,,,416.6000061035156,
20/04/1998,,,,,,,,,,421.8999938964844,
21/04/1998,,,,,,,,,,422.8999938964844,
22/04/1998,,,,,,,,,,426.7000122070313,
23/04/1998,,,,,,,,,,421.8999938964844,
24/04/1998,,,,,,,,,,415.7999877929688,
27/04/1998,,,,,,,,,,414.0,
28/04/1998,,,,,,,,,,404.0,
29/04/1998,,,,,,,,,,404.7000122070313,
30/04/1998,,,,,,,,,,400.3999938964844,
01/05/1998,,,,,,,,,,393.5,
04/05/1998,,,,,,,,,,395.0,
05/05/1998,,,,,,,,,,398.0,
06/05/1998,,,,,,,,,,395.0,
07/05/1998,,,,,,,,,,393.6000061035156,
08/05/1998,,,,,,,,,,396.0,
11/05/1998,,,,,,,,,,389.5,
12/05/1998,,,,,,,,,,387.2000122070313,
13/05/1998,,,,,,,,,,402.5,
14/05/1998,,,,,,,,,,400.6000061035156,
15/05/1998,,,,,,,,,,404.8999938964844,
18/05/1998,,,,,,,,,,394.7000122070313,
19/05/1998,,,,,,,,,,392.2999877929688,
20/05/1998,,,,,,,,,,380.7000122070313,
21/05/1998,,,,,,,,,,383.0,
22/05/1998,,,,,,,,,,378.7000122070313,
26/05/1998,,,,,,,,,,379.7000122070313,
27/05/1998,,,,,,,,,,374.1000061035156,
28/05/1998,,,,,,,,,,367.2000122070313,
29/05/1998,,,,,,,,,,368.2000122070313,
01/06/1998,,,,,,,,,,363.2999877929688,
02/06/1998,,,,,,,,,,364.5,
03/06/1998,,,,,,,,,,358.0,
04/06/1998,,,,,,,,,,362.7000122070313,
05/06/1998,,,,,,,,,,359.8999938964844,
08/06/1998,,,,,,,,,,364.2000122070313,
09/06/1998,,,,,,,,,,359.0,
10/06/1998,,,,,,,,,,357.29998779296875,
11/06/1998,,,,,,,,,,350.79998779296875,
12/06/1998,,,,,,,,,,349.0,
15/06/1998,,,,,,,,,,347.5,
16/06/1998,,,,,,,,,,355.8999938964844,
17/06/1998,,,,,,,,,,360.8999938964844,
18/06/1998,,,,,,,,,,358.20001220703125,
19/06/1998,,,,,,,,,,363.0,
22/06/1998,,,,,,,,,,357.8999938964844,
23/06/1998,,,,,,,,,,354.70001220703125,
24/06/1998,,,,,,,,,,352.3999938964844,
25/06/1998,,,,,,,,,,354.29998779296875,
26/06/1998,,,,,,,,,,353.20001220703125,
29/06/1998,,,,,,,,,,353.0,
30/06/1998,,,,,,,,,,361.6000061035156,
01/07/1998,,,,,,,,,,370.5,
02/07/1998,,,,,,,,,,375.6000061035156,
06/07/1998,,,,,,,,,,377.2999877929688,
07/07/1998,,,,,,,,,,386.0,
08/07/1998,,,,,,,,,,387.1000061035156,
09/07/1998,,,,,,,,,,386.5,
10/07/1998,,,,,,,,,,387.2999877929688,
13/07/1998,,,,,,,,,,386.7000122070313,
